No.,Company Name,Country,Industry,Published Year,Last Revised,Link,Document Name,Main Text,Comment
1,Accenture,Ireland,Consulting,03-30-2021,03-30-2021,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-149/accenture-responsible-ai-final.pdf#zoom=50,Responsible AI From principles to practice,"Responsible AI
From principles to practice
Contents
Responsible AI in practice—
essential but not easy
03
• A growing imperative
• Practitioners’ insights—the realities of Responsible AI
05 Moving from principles to practice
• The four pillars of Responsible AI
• Pain points, recommendations and case studies
• Organizational
• Operational
• Technical
• Reputational
14 The next step—from practice to proof
Artificial intelligence (AI) has the potential to add trillions to the
global economy. And the benefits it can deliver to the enterprise
are well documented. However, Accenture research found that to
deliver on the promise of this technology, AI must be scaled across
the organization.
Responsible AI 03
Successfully scaling AI for business value requires a number of key factors. These include a focus on
value, new-skilling and scaling to production. But often, a stumbling block that organizations struggle
to overcome is the significant uncertainty and risks associated with AI. Trust inside and outside of the
organization is a key component to getting to value from AI. And to get to trust, organizations must
move beyond defining Responsible AI principles and put those principles into practice.
Accenture has worked with organizations worldwide to build this trust. How? By defining and
implementing solutions across four Responsible AI pillars—moving from principles to practice.
In this report we share what we have learned—from practitioners’ pain points and how to address
them, to case studies of what good looks like in the real world.
From principles to practice
The potential value organizations can achieve through AI is clear. So is the danger of being left behind
by competitors if the technology is not leveraged. But many businesses feel overwhelmed trying to
determine how to address the risks associated with it. In a global survey of risk managers, 58% identify
AI as the biggest potential cause of unintended consequences over the next two years. Only 11%
describe themselves as fully capable of assessing the risks associated with adopting AI
organization-wide.
One of the main reasons for this crisis of confidence? The way AI shifts the risk landscape in new and
unexpected ways for organizations. As AI decisions increasingly influence and impact people’s lives at
scale, so responsibility on enterprises increases to manage the potential ethical and socio-technical
implications of AI adoption.
In particular, bias, discrimination and fairness have emerged as areas of paramount concern, alongside
explainability. Recent academic advances in algorithmic fairness focus on a variety of very specific
definitions of these problem areas, which can be highly contextual, mutually exclusive and
contradictory. Translating these into action is fraught with tough decisions, trade-offs and
application-specific constraints, requiring multiple cross-domain perspectives to reach consensus.
Responsible AI in practice—essential but
not easy
A growing imperative

Responsible AI From principles to practice 04
Shareholders, regulators, media, employees and the public are increasingly aware of the
positive impact that scaling AI can have. But it is also clear that the potential for significant
damage exists if Responsible AI isn’t included in an organization’s approach.
In response, many enterprises have started to act
(or in other words, to Professionalize their approach
to AI and data). Those that have put in place the right
structures from the start, including considering
Responsible AI, are able to scale with confidence,
achieving nearly three times the return on their AI
investments when compared to those that have not.
However, there are also multiple examples of
organizations which have taken initial steps to
establish AI ethics principles and well-meaning
proofs of concept but struggle to scale these
concepts into their live processes. Which begs
the questions: why is it so hard to go from
principles to practice? What are the common
pitfalls and how can we address them?
Responsible AI
We define Responsible
AI as the practice of
designing, building
and deploying
AI in a manner that
empowers employees
and businesses
and fairly impacts
customers and society.
To better understand why organizations struggle to move from principles to practice, Accenture
conducted a global Responsible AI Practitioners' Survey—26 in-depth interviews with Responsible AI
practitioners from 19 organizations, across four continents. We spoke with technological practitioners
(data scientists and AI engineers), lawyers, industrial/organizational psychologists, and project
managers, all of whom are charged with implementing Responsible AI practices in their organizations.
Our analysis indicates that given the embryonic nature of Responsible AI, some organizations
have struggled to develop a systematic internal approach to convert their principles into practice.
Our experience shows that this is because they underestimate the technical complexity and
scale of people and process change required.
Approximately 75% of the Responsible AI projects referred to in these interviews were more than a year
old. Yet, in almost all cases, efforts had stagnated or remained incomplete due to a range of problems.
In the report, we will analyze the problems we uncovered from the survey results, and provide
recommendations for how to move forward.
Practitioners’ insights—the realities of Responsible AI
Responsible AI From principles to practice 05
To successfully move from Responsible AI principles to practice, organizations need to tackle a central
challenge: translating ethical principles and academic theories like algorithmic fairness into practical,
measurable metrics and thresholds that are right for them. To embed these responsible approaches
and metrics into everyday practices, organizations will also need to put in place the necessary
organizational, technical, operational, and reputational scaffolding.
We’ve defined four pillars of successful Responsible AI implementations, based on what we’ve learned
delivering Responsible AI solutions to organizations across the globe.
Moving from principles to practice
e four pillars of Responsible AI
Pain points, recommendations and case studies
For each pillar of Responsible AI, we have summarized the key practitioner pain points from our survey,
provided recommendations to address these pain points based on our implementation experience,
and included a case study to demonstrate what good looks like.
In our experience, many organizations begin their journey by focusing on one issue, such as
algorithmic fairness or compliance. However, those that are most successful understand the
importance of investing in all four pillars that underpin Responsible AI from the very start.
Democratize the new way
of working and facilitate
human + machine
collaboration.
Organizational
01
Set up governance and
systems that will enable
AI to flourish.
Operational
02
Help ensure systems
and platforms are
trustworthy and
explainable by design.
Technical
Articulate the Responsible
AI mission and ensure
it’s anchored to your
company’s values,
ethical guardrails, and
accountability structure.
Reputational
03 04
The four pillars of Responsible AI
01 Organizational
Practitioner pain points
Practitioner interviewees regularly highlighted the need for
appropriate performance metrics and recognition of their
Responsible AI work. They indicated that little value was being
placed today on risk mitigation, including prevention of reputational
harm, while time pressures meant short-term product success
was prioritized ahead of the long-term benefits of Responsible AI.
This often came from the top, with interviewees highlighting an
unwillingness by leadership to recognize Responsible AI failures
and deeply engage with issues like lack of fairness, transparency,
and the potential for discrimination.
Interviewees felt that as organizations create new Responsible
AI duties and roles, a culture of confidence must be built across
the enterprise, empowering employees to raise concerns and act
ethically through the right combination of responsible product
and individual success metrics and incentive structures.
What we recommend
Strong leadership is pivotal in empowering employees, elevating
Responsible AI as a key business imperative. To democratize this
new way of working, successful organizations recognize the need
for new and changing roles, and actively upskill, re-skill, or hire.
In our experience, organizations should actively create and
encourage an organizational culture that empowers individuals to
raise doubts or concerns with AI systems, without stifling innovation.
Establishing clear success criteria, incentives and training helps to
nurture these new roles and skills, diffusing a Responsible AI culture
across the organization and cultivating trust in AI systems.
Responsible AI From principles to practice 06
Responsible AI From principles to practice 07
Leadership plays an essential role in the successful
adoption of Responsible AI. A leading European
financial services organization wanted to explore the
use of algorithmic fairness across their model
inventory. Strong buy-in and support at the executive
level enabled a culture of openness and
collaboration, where an internal, multidisciplinary
team were free to work with Accenture to learn and
explore algorithmic fairness, raising any concerns in
a safe environment.
A strong focus was initially placed on education
and upskilling, ensuring all team members fully
understood algorithmic fairness, the choices
and trade-offs that need to be made, and how to
utilize Accenture’s Algorithmic Assessment toolkit.
This foundation of support and knowledge removed
many of the fears and orthodoxies that often
exist around bias and fairness, creating an open,
collaborative culture. Individuals were empowered
to ask the hard questions, with potential sources
of bias thoroughly investigated. In undertaking this
process, the organization now has the training and
skills needed to implement the latest advances in
the algorithmic fairness space.
Putting organizational
principles into practice
Case study
Practitioner pain points
Practitioners interviewed as part of our research indicated that
companies consistently struggled with stakeholder misalignment,
frustrating bureaucracy, conflicting agendas and a lack of clarity
on processes or ownership. For example, individuals operated in an
ad hoc nature based on their own values and personal assessment
of relative importance. A lack of clarity on governance and
accountability structures, undue conflict and competing
incentives across groups ultimately led to Responsible AI
inertia and a reactive mindset.
What we recommend
Effective organizations establish transparent, cross-domain,
governance structures. These structures identify roles,
expectations and accountability to build internal confidence and
trust in AI technologies. Throughout the project lifecycle, these
organizations transform ethical principles into clear processes,
procedures and chains of command that respect the
context-specific needs of each application.
Accenture has found that the creation of a cross-domain ethics
committee at an early stage has been invaluable for some
organizations. In clearly defining roles and expertise, ways of
working and authority to govern, procedures can be maintained on
an ongoing basis, while also enabling on-demand responses as
issues arise.
02 Operational
Responsible AI From principles to practice 08
Responsible AI From principles to practice 09
Putting operational principles into practice
Following the release of EU AI Trustworthy Guidelines, one global communications vendor asked
Accenture to help develop their own internal ethical principles and translate them into operational
actions, activities, and structures. This would give them a practical Responsible AI risk management
foundation on which to build their future AI pipeline with confidence.
Over the course of seven weeks, Accenture helped to define a governance framework,
with four key deliverables:
In particular, the playbook enabled our client to navigate the difficult path of principles to practice.
For each key activity along a project lifecycle, the playbook makes clear the activities to be completed,
the team members required to take action and the stakeholders responsible for successful completion.
Each of these activities are aligned with one or more of the client’s ethical principles, ensuring that the
right principles are being considered and acted on accordingly, at each stage. The committee
supports day-to-day activity, resolving any alerts or escalations, while also running check-ins at each
phase of the AI lifecycle.
Responsible AI
principles defined
and detailed in an
actionable playbook.
Principles and
playbook
New committee
created with clearly
defined roles, ways of
working and authority
to govern.
Responsible AI
commiee
Personalized training
plans built for all team
members based on their
roles and Responsible AI
responsibilities.
Training
Structures and channels
established to safely
escalate risks and ways
to actively foster dissent.
Monitoring
Case study
Practitioner pain points
One of the biggest barriers that practitioner’s organizations faced
was a lack of expertise in defining and measuring ethical use and
algorithmic impact of data, models and model outcomes on an
ongoing basis. Without established technical methods to identify,
mitigate and monitor these risks, organizations cannot be confident
that the system is fair and safe.
Interviewees also indicated that their organizations struggled to
integrate academic metrics like algorithmic fairness, finding them
very different from traditional benchmarks and KPIs. Responsible AI
cannot be measured in revenue generation or click-through rates,
yet organizations still relied on performance metrics like these to
define the success or failure of Responsible AI practitioners.
What we recommend
Successful organizations architect and deploy AI models, systems
and platforms that are trustworthy, fair and explainable by design.
Using proven qualitative and quantitative techniques to assess
potential risks, they are better placed to reach cross-domain
consensus on mitigation strategies. They also clearly define
measurable performance metrics and establish techniques for
ongoing monitoring, control and re-assessment.
It is important for organizations to invest time in fully understanding
the sources of bias in their various systems. In our experience, this
process leads to better informed resolution strategies that match
the organization and the application. Having the right set of tools
to thoroughly investigate sources of bias and understand the
trade-offs and impacts of fairness decisions is invaluable in
reaching common cross-domain consensus.
Responsible AI From principles to practice 10
03 Technical
Responsible AI From principles to practice 11
Putting technical
principles into practice
Allied Irish Bank (AIB), wanted to ensure they were
ahead of the industry and bring their data-science
teams rapidly up to speed on the latest developments
in algorithmic fairness, while further enhancing the
integration of algorithmic fairness assessment in
the models used to aid their decision-making.
Working with the bank’s data science team, we leveraged
Accenture’s Algorithmic Assessment toolkit to assess
fairness and actions needed to mitigate bias in two
new models that were in development.
At relevant points in the model development workflow,
analyses were surfaced to a multidisciplinary group. By
breaking this complex problem down into manageable,
understandable “chunks”, the tools gave data scientists
and business executives a deeper understanding of their
data and model outcomes from a fairness perspective.
They then directed further investigation into areas of
potential bias. This methodology informed and improved
decision-making during the model-build process.
We enabled AIB to integrate a data-driven assessment
of the complex problem of algorithmic fairness in the
end-to-end model lifecycle. The bank’s data science
teams are now self-sufficient on the tool, and are able
to independently use it in their ongoing work to affirm
confidence and a deeper understanding of their models.
Case study
Practitioner pain points
Without the necessary organizational, operational, and technical
foundations in place, interviewees reported that organizations are
forced into a reactive approach to Responsible AI, leaving them
exposed to significant reputational damage. Interviewees indicated
that in the absence of clear legal requirements, they had used
reputational risk (in the form of catastrophic media attention)
as a way of incentivizing change.
What we recommend
Leaders in this field clearly articulate their Responsible Business
mission, anchored in their principles and informed by brand,
public risk assessments and guidance. Accurate, ongoing
measurement and monitoring of key Responsible AI metrics—
such as fairness—ensures they are managing risk and able to
communicate with confidence and transparency.
In some cases, internal stakeholders can be skeptical of the value of
ethical principles or risk averse in communicating these externally.
Successful organizations embrace these internal skeptics and the
fresh perspective they bring, encouraging the core team to
pressure-test the principles they’re defining. The result is often
a more considered, precise set of principles in which everyone
has confidence. Responsible AI is a cross-domain challenge
and consensus is vital to build a culture of confidence and
enable trust in the technology.
Responsible AI From principles to practice 12
04 Reputational
Responsible AI From principles to practice 13
Putting reputational principles into practice
Establishing a Responsible AI approach that is robust, fair and maintained on an ongoing
basis can also enable organizations to communicate and collaborate with confidence.
A major government agency wanted to apply an “ethics-by-design” approach to the algorithms
it utilizes to serve citizens. The agency wanted to have a clear view of potential bias present in
the data, model, and output to identify improvement points and make sure the algorithms it
used were treating all people in a fair way.
Working together, we established an end-to-end approach to Responsible AI, combining
our Algorithmic Assessment toolkit with strong governance structures, ensuring continued
monitoring and evaluation of fairness over time. A multidisciplinary team was also established
to ensure adherence to ethical principles, as well as serving as a mechanism for escalation of
ethical issues, should they ever arise. In taking a Responsible AI approach, the agency was also
able to establish new ethics roles to create internal and external awareness, foster trust and
encourage communication and collaboration.
Case study
Responsible AI From principles to practice 14
The value of AI is clear. But it can bring with it new, dynamic, ethical and social issues. A failure to
manage these issues can have a significant impact at a human and societal level, leaving organizations
exposed to financial, legal, and reputational repercussions.
While many organizations have taken the first step and defined AI principles, translating these into
practice is far from easy, especially with few standards or regulations to guide them. Our global
Responsible AI Practitioner's Survey identified a range of organizational, operational, technical and
reputational challenges that hold well-intentioned organizations back. While the initial focus is often on
ethical and legal requirements, success is also a function of an organization’s ability to modify its
traditional ways of working to support Responsible AI—and AI more broadly.
In our experience, successful organizations understand the importance of taking a systematic
approach from the start, addressing these challenges in parallel, while others underestimate the scale
and complexity of change required. A systematic approach requires proven tools, frameworks and
methodologies, enabling the organizations to move from principles to practice with confidence and
supporting the professionalization of AI.
In undertaking this process organizations also establish the structures needed to demonstrate the
long-term value of Responsible AI by scaling it across the organization, enabling the essential move
from “practice to proof.”
We use a set of 25 questions to help our clients to benchmark their motivators and challenges,
together with their maturity in terms of people, process and technology against their peers. Where are
you on your Responsible AI journey?
The next step? From practice to proof
About Accenture
Accenture is a global professional services company with leading
capabilities in digital, cloud and security. Combining unmatched
experience and specialized skills across more than 40 industries,
we offer Strategy and Consulting, Interactive, Technology and
Operations services—all powered by the world’s largest network of
Advanced Technology and Intelligent Operations centers. Our
514,000 people deliver on the promise of technology and human
ingenuity every day, serving clients in more than 120 countries.
We embrace the power of change to create value and shared
success for our clients, people, shareholders, partners and
communities. Visit us at www.accenture.com.
Follow @AccentureAI
Authors
This document is produced by consultants at Accenture as general guidance.
It is not intended to provide specific advice on your circumstances. If you
require advice or further details on any matters referred to, please contact
your Accenture representative.
This document makes descriptive reference to trademarks that may be
owned by others. The use of such trademarks herein is not an assertion of
ownership of such trademarks by Accenture and is not intended to represent
or imply the existence of an association between Accenture and the lawful
owners of such trademarks.
Copyright © 2021, Accenture. All rights reserved.
Accenture and its logo are trademarks of Accenture.
Ray Eitel-Porter
Managing Director, Applied Intelligence
Global Lead for Responsible AI
ray.eitel-porter@accenture.com
Medb Corcoran
Managing Director, Accenture Labs
Global Responsible AI Lead for Tech Innovation
medb.corcoran@accenture.com
Patrick Connolly
Research Manager
Responsible AI
patrick.connolly@accenture.com
Contributors
Bogdana Rakova
Artificial Intelligence Consultant, Responsible AI
Anika Mahajan
Responsible AI – Technical & ASEAN Lead
About Applied Intelligence
Applied Intelligence is Accenture’s approach to scaling AI for our
clients. We embed AI-powered data, analytics and automation
capabilities into business workflows to accelerate time to value. Our
expertise in defining end to-end strategy, combined with deep data
infrastructure capabilities, cognitive services and industrialized
accelerators help smooth clients’ path to AI adoption, extending
human capabilities and supporting clients in scaling AI responsibly.
Recognized as a leader by industry analysts, we collaborate with a
powerful global alliance, innovation and delivery network to help
clients deploy and scale AI within any market and industry.
Visit us at www.accenture.com/appliedintelligence.
About Accenture Labs
Accenture Labs incubates and prototypes new concepts through
applied R&D projects that are expected to have a significant impact
on business and society. Our dedicated team of technologists and
researchers work with leaders across the company and external
partners to imagine and invent the future. Accenture Labs is located
in seven key research hubs around the world: San Francisco, CA;
Sophia Antipolis, France; Washington, D.C.; Shenzhen, China;
Bangalore, India; Herzliya, Israel and Dublin, Ireland; and 25 Nano Labs
The Labs collaborates extensively with Accenture’s network of nearly
400 innovation centers, studios and centers of excellence located in
92 cities and 35 countries globally to deliver cutting-edge research,
insights and solutions to clients where they operate and live. For
more information, please visit www.accenture.com/labs.
About Accenture Research
Accenture Research shapes trends and creates data driven
insights about the most pressing issues global organizations face.
Combining the power of innovative research techniques with a deep
understanding of our clients’ industries, our team of 300 researchers
and analysts spans 20 countries and publishes hundreds of reports,
articles and points of view every year. Our thought-provoking
research—supported by proprietary data and partnerships with
leading organizations, such as MIT and Harvard—guides our
innovations and allows us to transform theories and fresh ideas
into real-world solutions for our clients. For more information,
visit www.accenture.com/research.",Addtional Details: https://www.accenture.com/us-en/insights/artificial-intelligence/responsible-ai-principles-practice
2,Adobe,United States of America,Software,,,https://www.adobe.com/content/dam/cc/en/ai-ethics/pdfs/Adobe-AI-Ethics-Principles.pdf,Adobe’s Commitment to AI Ethics,"Adobe’s Commitment to AI Ethics
At Adobe, our purpose is to serve the creator and respect the consumer, and our heritage is built on providing
trustworthy and innovative solutions to our customers. As our technology becomes more sophisticated, our products
and features have the potential to impact our customers in profound and exciting ways. However, we believe we have a
role that goes beyond creating the world’s best technology. We are committed to ensuring that our technology and the
use of our technology benefits society. At Adobe, as we innovate and harness the power of AI in our tools, we are
dedicated to addressing the harms posed by biased data in the training of our AI. AI Ethics is one of the core pillars of
our commitment to Digital Citizenship, a pledge from Adobe to address the consequences of innovation as part of our
role in society.
How AI is used in Adobe’s products
We believe AI will enhance human creativity and drive value from the complex global digital ecosystem. For the
Creative Cloud, we are focused on making it easier for everyone to tell their story with simpler and more intuitive tools.
As part of our Digital Experience offerings, Adobe’s enterprise customers use our AI to deliver relevant and meaningful
insights and personalized digital experiences to their end customers. And with Document Cloud, AI-enabled features
help understand the structure of PDFs to assist the user in viewing, searching, and editing documents on any platform.
However, we recognize the potential challenges inherent in this powerful technology. AI systems are based on data,
and that data can be biased. AI systems trained on biased data can unintentionally discriminate or disparage, or
otherwise cause our customers to feel less valued. Therefore, we are committed to maintaining a principled and
ethically sound approach to ensure our work stays aligned with our intended outcomes and consistent with our values.
And we are actively participating in government discussions around the world to shape AI Ethics regulation for the
good of the consumer and effectiveness in the industry.
AI Ethics Principles
At Adobe, we believe responsible AI development is based on the following three principles:
• Responsibility: We will approach designing and maintaining our AI technology with thoughtful evaluation and
careful consideration of the impact and consequences of its deployment. We will ensure that we design for
inclusiveness and assess the impact of potentially unfair, discriminatory, or inaccurate results, which might
perpetuate harmful biases and stereotypes. We understand that special care must be taken to address bias if a
product or service will have a significant impact on an individual’s life, such as with employment, housing,
credit, and health.
• Accountability: We take ownership over the outcomes of our AI-assisted tools. We will have processes and
resources dedicated to receiving and responding to concerns about our AI and taking corrective action as
appropriate. Accountability also entails testing for and anticipating potential harms, taking preemptive steps to
mitigate such harms, and maintaining systems to respond to unanticipated harmful outcomes.
Page 2 of 4
Adobe’s Commitment to AI Ethics
• Transparency: We will be open about, and explain, our use of AI to our customers so they have a clear
understanding of our AI systems and their application. We want our customers to understand how Adobe uses
AI, the value AI-assisted tools bring to them, and what controls and preferences they have available when they
engage with and utilize Adobe’s AI-enhanced tools and services.
AI development and AI ethical review is still in its infancy. With any such complex topic, errors may occur, but with the
commitment of our engineers and with help from our employees, our products and features will be best-in-class while
continuing to reflect Adobe’s values.
Adobe’s AI Ethics Principles
Responsibility
We at Adobe place a high value on taking responsibility for the impact of our company and the innovation we deliver
to the world. It stems from taking pride in our work and our dedication to the best possible outcomes. Therefore, we’ve
determined that responsibility is the critical foundational principle to underpin Adobe’s commitment and efforts toward
developing AI. We must understand and address the impact of introducing new technologies such as AI.
Responsible development of AI encompasses the following: designing an AI system thoughtfully, evaluating how it
interacts with end users, exercising due diligence to avoid unwanted kinds of bias, and vetting the AI system to
determine when the behavior of the system is unacceptable. This entails anticipating potential harms, taking
preemptive steps to mitigate such harms, measuring and documenting system performance throughout the technology
lifecycle, and establishing systems to monitor and respond to unanticipated harmful outcomes.
Responsibility and Bias
The behavior of AI features is strongly dependent on the data used to train them. We understand that AI
models can result in unintended biases in training data, whether produced by the selection of data to include
or by the customer actions that produce the data, can result in correspondingly biased behavior in the system.
Therefore, we are committed to building and curating AI training sets in order to avoid harmful bias for the
instances where bias perpetuates societal stereotypes which in turn negatively impact people’s lives. However,
we understand that all data has bias; therefore, we are committing to ensuring that the output of our AI
systems are remediated for bias, regardless of the input.
As part of developing and deploying its AI systems, Adobe will seek to mitigate unintended bias related to
human attributes (e.g. race, gender, color, ethnic or social origin, genetic or identity preservation features,
religion or belief, political belief, geography, income, disability, age, sexual orientation or vocation), and will
apply a special focus, and strict standards of fairness and inclusiveness, to situations where the outcome would
have an outsized impact on an individual’s life, such as access to information about employment, housing,
credit, and health.
Our ultimate goal is to design for inclusiveness rather than exclusion or discrimination. We will also determine
whether the advantages of using AI outweigh the risk of harm of using AI at all.
This notion of fairness, however, does not imply a rigid uniformity of experience across customers, as some of
the most typical AI use cases distinguish between individuals in ordinary and acceptable ways, as in
demographic marketing or personalized product recommendations. Responsible development of AI means
using AI in reasonable ways that accommodate the norms and values of our society.
Page 3 of 4
Adobe’s Commitment to AI Ethics
Responsibility and Adobe’s Digital Media Tools
It is possible, despite reasonable prevention efforts, that an outside party (customer or otherwise) might make
use of Adobe’s AI technology, such as with our video and photo tools, in a way that results in questioning the
authenticity of content. Adobe feels a responsibility to support the creative community, and society at large,
and is committing to contributing to solutions that address the issues of manipulated media.
However, we believe it is important to be clear about actions to which Adobe is not committing. We do not believe
that we will develop AI that:
• Ensures egalitarian fairness, in the sense of providing identical experiences to all users. The value of AI is in its
ability to differentiate, and as long as the AI is free of unfair bias, enabling customization and personalization of
tools, recommendations, and technologies is valuable, important, and welcomed by our users.
• Certification that inbound training data is ""unbiased"". All training data encodes bias in one direction or another,
as humans create the data point, and humans have inherent bias. We do not believe it is reasonable or useful
to commit to a zero-bias starting point; rather, it is more important and effective to commit to having an
outcome that mitigates against bias.
Accountability
Accountability means the commitment to take ownership for the outcomes of our actions. At Adobe, while anyone
involved with AI has an obligation to help ensure it’s being managed responsibly, business leaders are held accountable
for the ethical operation of Adobe’s AI technologies. We are ensuring processes are in place and resources are
dedicated to meet Adobe’s AI Ethics commitments, including to develop and implement the necessary engineering
practices to achieve our responsibility goals, receive and respond to internal and external concerns, and to take
corrective action as required.
How We Ensure Accountability:
• Establishing governance processes to evaluate and track the performance of AI algorithms, data and designs,
including labeling datasets and models for any identified bias to ensure remediation can occur at product
design stage;
• Requiring an AI Impact Assessment (as part of our services development process) to ensure an AI ethics review
happens before deployment of new AI technologies;
• Creating an Ethics Advisory Board to oversee the promulgation of AI development requirements and be a
place where any AI ethics concerns can be heard, while safeguarding ethical whistleblowers;
• Processes to ensure remediation of any negative AI impacts that are discovered after deployment;
• Education of engineers and product managers via mandatory training courses on AI ethics issues.
Page 4 of 4
Adobe’s Commitment to AI Ethics
Transparency
Transparency is the reasonable public disclosure, in clear and simple language, of how we responsibly develop and
deploy AI within our tools. Adobe values our trusted relationship with our customers and feels that transparency is
integral to that relationship. This includes sharing information on how or whether Adobe collects and uses customer
assets and usage data to improve our products and services.
Transparency includes the disclosure of the following:
• Our data collection practices:
o When and if individual’s data will be collected for AI training, and what controls a user will have over
the collection
o Providing notice prior to and if human-review of customer data for AI training will be implemented
• Model development:
o How datasets are used in building AI models
• Accountability processes:
o How Adobe is testing for and resolving issues related to unfair bias.
• General disclosure of how data and AI are used in Adobe’s tools and services;
• Provide external and internal feedback mechanisms to report concerns on our AI practices",Addtional Details: https://www.adobe.com/content/dam/cc/en/ai-ethics/pdfs/Adobe-AI-Ethics-Principles.pdf
3,Alphabet,United States of America,Software,,,https://ai.google/responsibilities/responsible-ai-practices/,Responsible AI practices,"Responsible AI practices
The development of AI is creating new opportunities to improve the lives of people around the world, from business to healthcare to education. It is also raising new questions about the best way to build fairness, interpretability, privacy, and security into these systems.

These questions are far from solved, and in fact are active areas of research and development. Google is committed to making progress in the responsible development of AI and to sharing knowledge, research, tools, datasets, and other resources with the larger community. Below we share some of our current work and recommended practices. As with all of our research, we will take our latest findings into account, work to incorporate them as appropriate, and adapt as we learn more over time.

Explore our responsible practices:
General recommended practices for AI
Fairness
Interpretability
Privacy
Security
Back to top ↑
General recommended practices for AI
Reliable, effective user-centered AI systems should be designed following general best practices for software systems, together with practices that address considerations unique to machine learning. Our top recommendations are outlined below, with additional resources for further reading.

Recommended practices
Use a human-centered design approach
The way actual users experience your system is essential to assessing the true impact of its predictions, recommendations, and decisions.

Design features with appropriate disclosures built-in: clarity and control is crucial to a good user experience.
Consider augmentation and assistance: producing a single answer can be appropriate where there is a high probability that the answer satisfies a diversity of users and use cases. In other cases, it may be optimal for your system to suggest a few options to the user. Technically, it is much more difficult to achieve good precision at one answer (P@1) versus precision at a few answers (e.g., P@3).
Model potential adverse feedback early in the design process, followed by specific live testing and iteration for a small fraction of traffic before full deployment.
Engage with a diverse set of users and use-case scenarios, and incorporate feedback before and throughout project development. This will build a rich variety of user perspectives into the project and increase the number of people who benefit from the technology.
Identify multiple metrics to assess training and monitoring
The use of several metrics rather than a single one will help you to understand tradeoffs between different kinds of errors and experiences.

Consider metrics including feedback from user surveys, quantities that track overall system performance and short- and long-term product heath (e.g., click-through rate and customer lifetime value, respectively), and false positive and false negative rates sliced across different subgroups.
Ensure that your metrics are appropriate for the context and goals of your system, e.g., a fire alarm system should have high recall, even if that means the occasional false alarm.
When possible, directly examine your raw data
ML models will reflect the data they are trained on, so analyze your raw data carefully to ensure you understand it. In cases where this is not possible, e.g., with sensitive raw data, understand your input data as much as possible while respecting privacy; for example by computing aggregate, anonymized summaries.

Does your data contain any mistakes (e.g., missing values, incorrect labels)?
Is your data sampled in a way that represents your users (e.g., will be used for all ages, but you only have training data from senior citizens) and the real-world setting (e.g., will be used year-round, but you only have training data from the summer)? Is the data accurate?
Training-serving skew—the difference between performance during training and performance during serving—is a persistent challenge. During training, try to identify potential skews and work to address them, including by adjusting your training data or objective function. During evaluation, continue to try to get evaluation data that is as representative as possible of the deployed setting.
Are any features in your model redundant or unnecessary? Use the simplest model that meets your performance goals.
For supervised systems, consider the relationship between the data labels you have, and the items you are trying to predict. If you are using a data label X as a proxy to predict a label Y, in which cases is the gap between X and Y problematic?
Data bias is another important consideration; learn more in practices on AI and fairness.
Understand the limitations of your dataset and model
A model trained to detect correlations should not be used to make causal inferences, or imply that it can. E.g., your model may learn that people who buy basketball shoes are taller on average, but this does not mean that a user who buys basketball shoes will become taller as a result.
Machine learning models today are largely a reflection of the patterns of their training data. It is therefore important to communicate the scope and coverage of the training, hence clarifying the capability and limitations of the models. E.g., a shoe detector trained with stock photos can work best with stock photos but has limited capability when tested with user-generated cellphone photos.
Communicate limitations to users where possible. For example, an app that uses ML to recognize specific bird species might communicate that the model was trained on a small set of images from a specific region of the world. By better educating the user, you may also improve the feedback provided from users about your feature or application.
Test, Test, Test
Learn from software engineering best test practices and quality engineering to make sure the AI system is working as intended and can be trusted.

Conduct rigorous unit tests to test each component of the system in isolation.
Conduct integration tests to understand how individual ML components interact with other parts of the overall system.
Proactively detect input drift by testing the statistics of the inputs to the AI system to make sure they are not changing in unexpected ways.
Use a gold standard dataset to test the system and ensure that it continues to behave as expected. Update this test set regularly in line with changing users and use cases, and to reduce the likelihood of training on the test set.
Conduct iterative user testing to incorporate a diverse set of users’ needs in the development cycles.
Apply the quality engineering principle of poka-yoke: build quality checks into a system, so that unintended failures either cannot happen or trigger an immediate response (e.g., if an important feature is unexpectedly missing, the AI system won’t output a prediction).
Continue to monitor and update the system after deployment
Continued monitoring will ensure your model takes real-world performance and user feedback (e.g., happiness tracking surveys, HEART framework) into account.

Issues will occur: any model of the world is imperfect almost by definition. Build time into your product roadmap to allow you to address issues.
Consider both short- and long-term solutions to issues. A simple fix (e.g., blocklisting) may help to solve a problem quickly, but may not be the optimal solution in the long run. Balance short-term simple fixes with longer-term learned solutions.
Before updating a deployed model, analyze how the candidate and deployed models differ, and how the update will affect the overall system quality and user experience.",Addtional Information: https://ai.google/principles/
